날짜,공시_제목,공시자
2022-02-28,자기주식처분결과보고서,SK텔레콤
2022-02-28,임원ㆍ주요주주특정증권등소유상황보고서,박정호
2022-02-25,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2022-02-24,의결권대리행사권유참고서류,SK텔레콤
2022-02-24,주주총회소집공고,SK텔레콤
2022-02-24,주주총회집중일개최사유신고,SK텔레콤
2022-02-24,주주총회소집결의,SK텔레콤
2022-02-24,주요사항보고서(자기주식처분결정),SK텔레콤
2022-02-24,임원ㆍ주요주주특정증권등소유상황보고서,최태원
2022-02-09,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2022-02-09,매출액또는손익구조30%(대규모법인은15%)이상변경,SK텔레콤
2022-02-09,현금ㆍ현물배당결정,SK텔레콤
2022-02-09,영업(잠정)실적(공정공시),SK텔레콤
2022-02-09,[첨부정정]장래사업ㆍ경영계획(공정공시),SK텔레콤
2022-02-09,연결재무제표기준영업실적등에대한전망(공정공시),SK텔레콤
2022-02-07,임원ㆍ주요주주특정증권등소유상황보고서,장혁준
2022-02-03,기업설명회(IR)개최(안내공시),SK텔레콤
2022-01-27,자기주식처분결과보고서,SK텔레콤
2022-01-25,임원ㆍ주요주주특정증권등소유상황보고서,심상수
2022-01-25,임원ㆍ주요주주특정증권등소유상황보고서,박명순
2022-01-25,임원ㆍ주요주주특정증권등소유상황보고서,박용주
2022-01-25,임원ㆍ주요주주특정증권등소유상황보고서,박종관
